dataset,forecaster,aci_method,static_method,delta_picp_aci_minus_static,delta_mpiw_aci_minus_static,delta_winkler_interval_score_aci_minus_static,delta_macro_user_abs_coverage_gap_aci_minus_static,delta_max_abs_cluster_coverage_gap_aci_minus_static
Ausgrid,lightgbm_quantile,aci_global,rolling_global_norm,0.0015394251675808675,0.0005351379430952365,-7.440090509542678e-05,-0.0007495552179107671,-0.0060889402862908835
Ausgrid,lightgbm_quantile,aci_segment,rolling_group_norm,0.0016224806503558065,0.0005807740396433225,-7.843768408060299e-05,-0.0007411506666415492,-0.009170180260385208
Ausgrid,lightgbm_quantile,aci_user,rolling_user_norm,0.003995457493003081,0.0008093618692995389,-0.0012401964582950953,-0.023081644895284432,-0.010049882582314143
Ausgrid,persistence_quantile_interval,aci_global,rolling_global_norm,-0.0011542179056204434,-0.0014696457177031848,-0.007200934273479204,-0.007152652195604515,-0.018109686365548567
Ausgrid,persistence_quantile_interval,aci_segment,rolling_group_norm,-0.0011273194171160517,-0.002087093927515854,-0.008161814258156245,-0.007279203884656191,-0.025082585587685783
Ausgrid,persistence_quantile_interval,aci_user,rolling_user_norm,0.004477992723083894,0.004918065762987635,-0.029474263027431374,-0.037972654553124416,-0.023169689169538682
London,lightgbm_quantile,aci_global,rolling_global_norm,0.0014849926488215855,0.00028698881537414766,-2.9247950732205005e-05,-0.0005210116671509726,-0.004091710895729509
London,lightgbm_quantile,aci_segment,rolling_group_norm,0.001471552081296043,0.00032564923623731363,-3.874855193630228e-05,-0.0005467864480710895,-0.008922277239566418
London,lightgbm_quantile,aci_user,rolling_user_norm,0.00550221412438854,0.000886770272138548,-0.0017232636029697148,-0.02642684765549209,-0.010311690022092935
London,persistence_quantile_interval,aci_global,rolling_global_norm,-0.0013256707866122158,-0.0030775029933046605,-0.0022488456321416617,-0.004040452418730528,-0.018080329349713528
London,persistence_quantile_interval,aci_segment,rolling_group_norm,-0.0011809298569650517,-0.00335205878759168,-0.0032235306810747062,-0.0042758850760263286,-0.028000244939755906
London,persistence_quantile_interval,aci_user,rolling_user_norm,0.0035938674410955673,0.0018584333526111727,-0.01796069497498285,-0.03223294649943406,-0.026531811673632975
UCI Electricity,lightgbm_quantile,aci_global,rolling_global_norm,-0.0006729119674803441,0.25038197441738436,0.005936603138186077,-0.00021160215069393243,0.0034008460019337252
UCI Electricity,lightgbm_quantile,aci_segment,rolling_group_norm,-5.974257761206155e-05,0.010375658946244926,-0.2898510101438016,-0.0008801289170799082,-0.009565011272382825
UCI Electricity,lightgbm_quantile,aci_user,rolling_user_norm,0.0011281759892956544,4.020229797751479,-11.341831314136632,-0.0248705553148755,-0.003850098277058384
UCI Electricity,persistence_quantile_interval,aci_global,rolling_global_norm,-0.0023978562976026685,-0.3205630450263565,-0.5430954122519486,-0.0007497019398684147,0.009919024941053031
UCI Electricity,persistence_quantile_interval,aci_segment,rolling_group_norm,-0.0028518503581101327,-0.25109599612113936,-1.1938902286675084,-0.0007922729928615656,-0.013749236502178916
UCI Electricity,persistence_quantile_interval,aci_user,rolling_user_norm,-0.002758092451445713,-1.6073764828997739,-4.937586985675613,-0.02493768946276099,-0.013599674719662933
