dataset,forecaster,coverage_target,horizon_hours,window,global_macro_user_gap,global_max_audit_group_gap,global_weighted_mean_audit_group_gap,user_macro_user_gap,user_max_audit_group_gap,user_weighted_mean_audit_group_gap,delta_user_gap_user_minus_global,delta_group_gap_user_minus_global,delta_weighted_mean_group_gap_user_minus_global,personalization_conflict,weighted_mean_group_conflict
London,lightgbm_quantile,0.8,1.0,2013-03,0.03546942888085434,0.009987603039670279,0.005447311773018395,0.026555066486722154,0.006601729410097068,0.005182435330483858,-0.008914362394132184,-0.0033858736295732106,-0.0002648764425345366,0,0
London,lightgbm_quantile,0.8,1.0,2013-04,0.03415706610426504,0.006813067044939336,0.003098180868052163,0.031951159574244145,0.012720694160608392,0.005377481345176462,-0.0022059065300208958,0.005907627115669056,0.002279300477124299,1,1
London,lightgbm_quantile,0.8,1.0,2013-05,0.039486520588395746,0.007471970047706278,0.0048907087291822585,0.0393049938498812,0.015575629911690925,0.011704352152543913,-0.00018152673851454942,0.008103659863984647,0.006813643423361654,1,1
London,lightgbm_quantile,0.8,1.0,2013-06,0.0424144679113881,0.006016013849816093,0.0032553787026595575,0.027999585417274618,0.00520722546499075,0.00215690391404645,-0.014414882494113483,-0.000808788384825343,-0.0010984747886131074,0,0
London,lightgbm_quantile,0.8,1.0,2013-07,0.048465310766988366,0.01938254598492828,0.015801719314856213,0.03814374382329026,0.01737352433315753,0.014273917627818874,-0.010321566943698103,-0.002009021651770748,-0.001527801687037339,0,0
London,lightgbm_quantile,0.8,1.0,2013-08,0.04613305600649457,0.005267271085483749,0.0025461780442556045,0.02957028335169795,0.0031495106475163404,0.0014680181754631295,-0.016562772654796616,-0.0021177604379674086,-0.001078159868792475,0,0
London,lightgbm_quantile,0.8,1.0,2013-09,0.04348927244099849,0.015195611579906121,0.014284423902424813,0.03530127088774783,0.02057450132129446,0.01840749629312593,-0.008188001553250661,0.005378889741388337,0.004123072390701116,1,1
London,lightgbm_quantile,0.8,1.0,2013-10,0.04111872413807094,0.01026347928078264,0.006001528229191383,0.028800536809961166,0.009610524661128661,0.00829790783271274,-0.012318187328109773,-0.0006529546196539782,0.0022963796035213565,0,1
London,lightgbm_quantile,0.8,1.0,2013-11,0.041571006717962336,0.009783156833081286,0.006278993447619944,0.033071205210514806,0.011726926340659971,0.010520241180985903,-0.00849980150744753,0.0019437695075786854,0.004241247733365959,1,1
London,lightgbm_quantile,0.8,1.0,2013-12,0.04518514203706499,0.008546953471419538,0.006185225841862216,0.03170927861593038,0.006670183931469786,0.0030435110149700582,-0.013475863421134611,-0.001876769539949752,-0.003141714826892158,0,0
London,lightgbm_quantile,0.8,1.0,2014-01,0.042654698092826605,0.012363416842740671,0.0069904924673157435,0.030452976942874476,0.004503471174162388,0.002626851210141349,-0.01220172114995213,-0.007859945668578283,-0.004363641257174394,0,0
London,lightgbm_quantile,0.8,6.0,2013-03,0.049732829616663365,0.02071821870170021,0.017469407292768992,0.03941789475031321,0.021827092488709843,0.01848860395604285,-0.010314934866350156,0.0011088737870096343,0.001019196663273856,1,1
London,lightgbm_quantile,0.8,6.0,2013-04,0.046927914789341114,0.008033114235793337,0.005755275692549738,0.04205653172098496,0.016501235498597056,0.009110481334410085,-0.004871383068356154,0.008468121262803718,0.003355205641860347,1,1
London,lightgbm_quantile,0.8,6.0,2013-05,0.05488784892689523,0.012658880179081233,0.00839087863779342,0.05066053445383797,0.02251074534840858,0.015136286556116966,-0.004227314473057263,0.009851865169327345,0.006745407918323546,1,1
London,lightgbm_quantile,0.8,6.0,2013-06,0.05906881273980818,0.00909840022639885,0.007408983392363239,0.03879025243595482,0.00968397073787619,0.0055589624642100885,-0.02027856030385336,0.0005855705114773402,-0.0018500209281531507,1,0
London,lightgbm_quantile,0.8,6.0,2013-07,0.0626664477842804,0.018531994880175096,0.016942003704037402,0.04925861554565484,0.02228331307406839,0.015590312476042758,-0.013407832238625565,0.003751318193893294,-0.0013516912279946443,1,0
London,lightgbm_quantile,0.8,6.0,2013-08,0.062429938189863705,0.0065079518382589185,0.003774467627446764,0.03799224521569961,0.003721589079904719,0.0027801677780168003,-0.024437692974164094,-0.0027863627583541994,-0.0009942998494299636,0,0
London,lightgbm_quantile,0.8,6.0,2013-09,0.061941975068899695,0.02708197215660657,0.01966082662912593,0.049126349740063496,0.033963268565344706,0.02725838796063781,-0.012815625328836198,0.006881296408738136,0.00759756133151188,1,1
London,lightgbm_quantile,0.8,6.0,2013-10,0.06269577457293654,0.014529301268149553,0.009070643173204886,0.040438321614638395,0.014996896137505211,0.012637175618425495,-0.022257452958298146,0.00046759486935565864,0.0035665324452206094,1,1
London,lightgbm_quantile,0.8,6.0,2013-11,0.06160093092620941,0.018670412531418212,0.008633313632096806,0.046409518100266126,0.015527554197633298,0.013705107255849575,-0.015191412825943287,-0.0031428583337849147,0.00507179362375277,0,1
London,lightgbm_quantile,0.8,6.0,2013-12,0.06340913627837705,0.012382037949242641,0.008931951584065284,0.042763976042902184,0.006763358963101984,0.00442211785408221,-0.020645160235474865,-0.005618678986140657,-0.004509833729983074,0,0
London,lightgbm_quantile,0.8,6.0,2014-01,0.06623585538230234,0.017208239091414,0.012598177227728134,0.0390650089740265,0.006590673074600817,0.00510306253734629,-0.027170846408275842,-0.010617566016813185,-0.0074951146903818435,0,0
London,lightgbm_quantile,0.9,1.0,2013-03,0.023966310518511884,0.008734128510965777,0.005795953709816456,0.015098211672673731,0.003999513983110936,0.0022907106352597615,-0.008868098845838153,-0.004734614527854841,-0.0035052430745566945,0,0
London,lightgbm_quantile,0.9,1.0,2013-04,0.02248072877409413,0.009609879502030516,0.005988584040171273,0.018606934348432237,0.007438272638949361,0.004352769002625318,-0.0038737944256618945,-0.0021716068630811547,-0.0016358150375459556,0,0
