scope,half_life_days,granularity,metric,block_length,point_estimate,ci_lower,ci_upper,replicates,seed
persistence_full_grid,7,user,l05_difference,2,-0.0071350012899271025,-0.010603628926870773,-0.003626825253281394,10000,20260729
persistence_full_grid,7,user,relative_winkler_change,2,-0.01660245951040476,-0.023812391206018153,-0.010043881562809632,10000,20260729
persistence_full_grid,7,user,l05_difference,3,-0.0071350012899271025,-0.01036155497592398,-0.0035895397064305335,10000,20260729
persistence_full_grid,7,user,relative_winkler_change,3,-0.01660245951040476,-0.023562005178336325,-0.010111731750966087,10000,20260729
persistence_full_grid,14,user,l05_difference,2,-0.005966335298341211,-0.008188582319439155,-0.00386008420142249,10000,20260729
persistence_full_grid,14,user,relative_winkler_change,2,-0.013339677684914508,-0.018263960488499847,-0.008898769483116032,10000,20260729
persistence_full_grid,14,user,l05_difference,3,-0.005966335298341211,-0.008030994097754622,-0.003826933303082728,10000,20260729
persistence_full_grid,14,user,relative_winkler_change,3,-0.013339677684914508,-0.018022093798627868,-0.0088743145100943,10000,20260729
persistence_full_grid,28,user,l05_difference,2,-0.003672121721652707,-0.004887354208462431,-0.0025326013485723873,10000,20260729
persistence_full_grid,28,user,relative_winkler_change,2,-0.0081478799725021,-0.01096289380101455,-0.005646168246707127,10000,20260729
persistence_full_grid,28,user,l05_difference,3,-0.003672121721652707,-0.004821336586225391,-0.0025205834280465837,10000,20260729
persistence_full_grid,28,user,relative_winkler_change,3,-0.0081478799725021,-0.010755489949941494,-0.0056247439800613305,10000,20260729
lightgbm_80pct_1h,14,user,l05_difference,2,-0.001510817850759373,-0.0022825705010821647,-0.0008137188231742425,10000,20260729
lightgbm_80pct_1h,14,user,relative_winkler_change,2,0.00011625712209381558,-0.0013408982205321566,0.0015312509290649986,10000,20260729
lightgbm_80pct_1h,14,user,l05_difference,3,-0.001510817850759373,-0.0022332478574312643,-0.0007965964559570072,10000,20260729
lightgbm_80pct_1h,14,user,relative_winkler_change,3,0.00011625712209381558,-0.001262637456847696,0.0013403655098076816,10000,20260729
