scope,half_life_days,granularity,environments,static_mean_l05,erw_mean_l05,paired_l05_difference,relative_winkler_change,paired_user_gap_difference,paired_group_gap_difference
persistence_full_grid,7,global,140,0.05808506264599228,0.05424488948092199,-0.0038401731650702865,-0.004581483834967075,-0.0025380767680072253,-0.0051422695621333465
persistence_full_grid,7,group,140,0.047146225628711576,0.040854212829283136,-0.00629201279942843,-0.006035879273944591,-0.0027010746604470407,-0.009882950938409824
persistence_full_grid,7,user,140,0.04204196030431467,0.034906959014387555,-0.0071350012899271025,-0.01660245951040476,-0.005705060782743367,-0.00856494179711084
persistence_full_grid,14,global,140,0.05808506264599228,0.055263603396334,-0.0028214592496582694,-0.0031900898729286978,-0.0018642019668674982,-0.0037787165324490407
persistence_full_grid,14,group,140,0.047146225628711576,0.04264764385581076,-0.0044985817729008065,-0.004340690186148428,-0.0019430079121421592,-0.007054155633659455
persistence_full_grid,14,user,140,0.04204196030431467,0.03607562500597345,-0.005966335298341211,-0.013339677684914508,-0.005242280250457635,-0.006690390346224787
persistence_full_grid,28,global,140,0.05808506264599228,0.056450879438433216,-0.001634183207559064,-0.0018685047971815987,-0.001096699082689945,-0.0021716673324281826
persistence_full_grid,28,group,140,0.047146225628711576,0.044551669468624704,-0.002594556160086861,-0.0025382840053263696,-0.001148524262396125,-0.004040588057777596
persistence_full_grid,28,user,140,0.04204196030431467,0.038369838582661964,-0.003672121721652707,-0.0081478799725021,-0.00335111914136657,-0.003993124301938844
lightgbm_80pct_1h,14,global,35,0.0313502140137973,0.032717796544668415,0.0013675825308711203,6.431587290729247e-05,9.230204820194329e-05,0.0026428630135402974
lightgbm_80pct_1h,14,group,35,0.02633756975987513,0.02630344150726451,-3.412825261061976e-05,6.420045157282219e-05,5.5057266986311455e-05,-0.00012331377220755146
lightgbm_80pct_1h,14,user,35,0.02194073612197469,0.020429918271215316,-0.001510817850759373,0.00011625712209381558,-0.0019872408853236767,-0.0010343948161950689
