scheme,forecaster,environments,conflicts,gcr,weighted_mean_group_conflicts,weighted_mean_group_gcr,mean_delta_user_gap,mean_delta_group_gap,mean_delta_weighted_mean_group_gap
DemandTertile,lightgbm_quantile,35,16,0.45714285714285713,13,0.37142857142857144,-0.011503038523250127,-0.0015136729134139675,-0.0005416978661738947
DemandTertile,persistence_quantile_interval,35,11,0.3142857142857143,11,0.3142857142857143,-0.012958022823224708,-0.0035383392354360627,-0.0019655117945737996
KM2,lightgbm_quantile,35,15,0.42857142857142855,19,0.5428571428571428,-0.011503038523250127,-0.005577212026091256,0.00036048882116461456
KM2,persistence_quantile_interval,35,12,0.34285714285714286,7,0.2,-0.012958022823224708,-0.015470926784713023,-0.0032400194945357854
KM3,lightgbm_quantile,35,11,0.3142857142857143,10,0.2857142857142857,-0.011503038523250127,-0.007315917260395098,-0.001185875719984707
KM3,persistence_quantile_interval,35,9,0.2571428571428571,7,0.2,-0.012958022823224708,-0.015696751929294702,-0.0032367570496099145
KM4,lightgbm_quantile,35,7,0.2,11,0.3142857142857143,-0.011503038523250127,-0.015332225633978961,-0.0014672818724476117
KM4,persistence_quantile_interval,35,5,0.14285714285714285,5,0.14285714285714285,-0.012958022823224708,-0.020971458232935787,-0.003909103296578263
Ward3,lightgbm_quantile,35,10,0.2857142857142857,12,0.34285714285714286,-0.011503038523250127,-0.014230941789618149,-0.0013588129771682678
Ward3,persistence_quantile_interval,35,4,0.11428571428571428,6,0.17142857142857143,-0.012958022823224708,-0.04573701517815612,-0.004860809831727341
