forecaster,dataset,configuration,coverage,horizon_hours,CSGR,Ex-post best fixed,Follow-the-leader,Global-CQR,Latest-fold minimum,Mean-fold minimum,Month-wise oracle,Previous-window winner,Segment-CQR,User-CQR,months,selected_global,selected_segment,selected_user,CSGR minus Ex-post best fixed
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,0.020275338303515543,0.020275338303515543,0.020885406275764715,0.027258002275949975,0.020275338303515543,0.020275338303515543,0.020275338303515543,0.020885406275764715,0.025597265103841967,0.020275338303515543,12,0,0,12,0.0
LightGBM,Ausgrid,lightgbm_quantile__c80__h6,0.8,6.0,0.03011460335248434,0.03011460335248434,0.031139598401741565,0.04221642944625817,0.03011460335248434,0.03011460335248434,0.03011460335248434,0.031139598401741565,0.037952453151124735,0.03011460335248434,12,0,0,12,0.0
LightGBM,Ausgrid,lightgbm_quantile__c90__h1,0.9,1.0,0.015465434556997415,0.015465434556997415,0.015999346125149732,0.020839533950974834,0.015465434556997415,0.015465434556997415,0.015465434556997415,0.015999346125149732,0.019522207659715442,0.015465434556997415,12,0,0,12,0.0
LightGBM,Ausgrid,lightgbm_quantile__c90__h6,0.9,6.0,0.021231195495071815,0.021231195495071815,0.022015270233524717,0.02880451003514355,0.021231195495071815,0.021231195495071815,0.021231195495071815,0.022015270233524717,0.0260100979328442,0.021231195495071815,12,0,0,12,0.0
LightGBM,London,lightgbm_quantile__c80__h1,0.8,1.0,0.022177464414019736,0.022317446584170883,0.02316803740381522,0.026744030754876972,0.022108187134502934,0.022317446584170883,0.021911459807482717,0.023401506601194808,0.02608839211211938,0.022317446584170883,11,2,0,9,-0.00013998217015114695
LightGBM,London,lightgbm_quantile__c80__h6,0.8,6.0,0.03068286887592586,0.03068286887592586,0.03092295209835111,0.040554034394142,0.03068286887592586,0.03068286887592586,0.03054310230086056,0.031576532269258835,0.03672581625998614,0.03068286887592586,11,0,0,11,0.0
LightGBM,London,lightgbm_quantile__c90__h1,0.9,1.0,0.017283722841598435,0.017283722841598435,0.017907684166469363,0.021747673249830762,0.017197360487777282,0.017283722841598435,0.01627038491368049,0.01837475354160572,0.020089310973287155,0.017283722841598435,11,0,0,11,0.0
LightGBM,London,lightgbm_quantile__c90__h6,0.9,6.0,0.02387065156465221,0.023543130348737232,0.02357014016067657,0.031028496516952418,0.023543130348737232,0.023543130348737232,0.023086376434073408,0.024941262609474244,0.027378460062901285,0.023543130348737232,11,0,1,10,0.0003275212159149776
LightGBM,UCI Electricity,lightgbm_quantile__c80__h1,0.8,1.0,0.02326081601675399,0.02326081601675399,0.02376810930311729,0.03966476040565491,0.02326081601675399,0.023512612248039823,0.023139206420292,0.02376810930311729,0.027306287259684415,0.02326081601675399,12,0,0,12,0.0
LightGBM,UCI Electricity,lightgbm_quantile__c80__h6,0.8,6.0,0.04351387201671302,0.04351387201671302,0.046006450430951785,0.0679398233417831,0.044523464992588246,0.04351387201671302,0.043046525012871616,0.046006450430951785,0.054441746672967924,0.04351387201671302,12,0,0,12,0.0
LightGBM,UCI Electricity,lightgbm_quantile__c90__h1,0.9,1.0,0.016179307595890383,0.016179307595890383,0.017061774404172256,0.030252285439796866,0.016179307595890383,0.016179307595890383,0.016179307595890383,0.017061774404172256,0.02037756559883201,0.016179307595890383,12,0,0,12,0.0
LightGBM,UCI Electricity,lightgbm_quantile__c90__h6,0.9,6.0,0.03357910013321558,0.03239345588044082,0.03357910013321558,0.045216795891020706,0.03357910013321558,0.03239345588044082,0.03056854618341119,0.033979197958143005,0.03739931750880715,0.03239345588044082,12,1,0,11,0.001185644252774759
Persistence,Ausgrid,persistence_qi__c80__h1,0.8,1.0,0.03848871068311328,0.03845472620282778,0.03947731951268829,0.043949087397102536,0.03811227592572547,0.03848871068311328,0.037689452350758476,0.03958968219251697,0.04206225803163576,0.03845472620282778,12,1,0,11,3.398448028549966e-05
Persistence,Ausgrid,persistence_qi__c80__h6,0.8,6.0,0.06104063304281585,0.06104063304281585,0.06354968332466653,0.07456871615755856,0.06104063304281585,0.06104063304281585,0.060735191320559434,0.06423192980774227,0.06989556708255983,0.06104063304281585,12,0,0,12,0.0
Persistence,Ausgrid,persistence_qi__c90__h1,0.9,1.0,0.028941033409506916,0.028587129325956223,0.029605921673820756,0.03424543529379836,0.028834100350214015,0.028834100350214015,0.0279803001246749,0.02954026464416368,0.03205044496225563,0.028587129325956223,12,2,1,9,0.0003539040835506928
Persistence,Ausgrid,persistence_qi__c90__h6,0.9,6.0,0.04378282516930931,0.0444551921290404,0.04586334784359373,0.053268018566532294,0.0444551921290404,0.0444551921290404,0.04312557359077978,0.04514524125337437,0.04988515108582309,0.0444551921290404,12,1,0,11,-0.0006723669597310938
Persistence,London,persistence_qi__c80__h1,0.8,1.0,0.037398709848744556,0.03751253248725937,0.03920112013560576,0.043652513104569725,0.03700894837642703,0.03687053944870355,0.03547973059508703,0.039955353684469404,0.04243996635017908,0.03751253248725937,11,2,0,9,-0.00011382263851481694
Persistence,London,persistence_qi__c80__h6,0.8,6.0,0.061451523926410484,0.06248202268190195,0.06599009490401629,0.07309293740452255,0.06141787457066483,0.061451523926410484,0.05730211530509785,0.06890246740270539,0.06871604349372638,0.06248202268190195,11,3,0,8,-0.0010304987554914657
Persistence,London,persistence_qi__c90__h1,0.9,1.0,0.024626996017114464,0.0245453965722078,0.025432037396606336,0.027749432566289554,0.024626996017114464,0.024792796745730147,0.022630841768925773,0.025631867802843853,0.027029655092964545,0.0245453965722078,11,3,0,8,8.159944490666524e-05
Persistence,London,persistence_qi__c90__h6,0.9,6.0,0.036082943110816945,0.04106910738292866,0.04266243363068892,0.04265235505511055,0.04016047582688745,0.03986249540855135,0.03515367632279806,0.04240206419404654,0.04276689288024847,0.04106910738292866,11,4,0,7,-0.004986164272111716
Persistence,UCI Electricity,persistence_qi__c80__h1,0.8,1.0,0.030493163326644247,0.03216478143599449,0.035472044832268824,0.0628303178566094,0.03202633589686588,0.030493163326644247,0.030298451571076468,0.0353684894451418,0.03349777744649409,0.03216478143599449,12,0,3,9,-0.0016716181093502404
Persistence,UCI Electricity,persistence_qi__c80__h6,0.8,6.0,0.06430459959185177,0.06430459959185177,0.06901142043303425,0.11315095824272343,0.06430459959185177,0.06430459959185177,0.06430459959185177,0.06901142043303425,0.07714794098031956,0.06430459959185177,12,0,0,12,0.0
Persistence,UCI Electricity,persistence_qi__c90__h1,0.9,1.0,0.019617354466237375,0.020185278788941715,0.02313570274734293,0.03992837495547794,0.020638982280421273,0.020078469607113025,0.019228417805848098,0.022641669249470916,0.021776891435010232,0.020185278788941715,12,0,2,10,-0.0005679243227043398
Persistence,UCI Electricity,persistence_qi__c90__h6,0.9,6.0,0.04882349326302012,0.04948889216896993,0.052827101757973456,0.08416652078048946,0.04948889216896993,0.04948889216896993,0.04882349326302012,0.05283186518882984,0.05785008997851148,0.04948889216896993,12,0,1,11,-0.0006653989059498058
