left,right,scope,contrast,block_months,resample_datasets,mean_delta,ci95_low,ci95_high
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,2,False,0.00011443194154488212,-3.059692605032957e-05,0.00033097106221174265
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,2,True,0.00011443194154488212,-3.499554253778642e-05,0.0003952147509249195
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,3,False,0.00011443194154488212,-3.059692605032957e-05,0.00031203931700734183
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,3,True,0.00011443194154488212,-3.059692605032957e-05,0.0003952147509249195
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,2,False,-0.0009595694156050296,-0.0017866949239074264,-0.00029665496280216214
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,2,True,-0.0009595694156050296,-0.0017881638159435824,-0.00024807045257673794
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,3,False,-0.0009595694156050296,-0.001675612004664864,-0.00031539705438945553
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,3,True,-0.0009595694156050296,-0.001715107026931632,-0.0002753044997512726
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,2,False,-0.0006991244975092982,-0.0015170067548284324,-4.0636192163641914e-05
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,2,True,-0.0006991244975092982,-0.001614020045250398,-4.253968723446559e-05
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,3,False,-0.0006991244975092982,-0.0014738347370993304,-5.2087942547319305e-05
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,3,True,-0.0006991244975092982,-0.0015590472941557014,-4.3058506759959706e-05
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,2,False,9.344892227106267e-05,-6.529640023949651e-05,0.00031203931700734183
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,2,True,9.344892227106267e-05,-6.294905782145835e-05,0.0003891222583664943
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,3,False,9.344892227106267e-05,-6.529640023949651e-05,0.0003099880429379232
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,3,True,9.344892227106267e-05,-6.294905782145835e-05,0.0003742317316511
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,2,False,-4.386934388519152e-05,-0.00022645830507914719,8.052680820882117e-05
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,2,True,-4.386934388519152e-05,-0.0003365309919584084,0.00013511367752798325
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,3,False,-4.386934388519152e-05,-0.0002121348398643957,6.755683876399163e-05
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,3,True,-4.386934388519152e-05,-0.0003365309919584084,0.00013376018175806129
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,2,False,-0.010386000044628828,-0.012184216544848843,-0.008502838483265203
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,2,True,-0.010386000044628828,-0.01630156533783894,-0.005986012891463428
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,3,False,-0.010386000044628828,-0.01220421217139972,-0.008444979400463536
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,3,True,-0.010386000044628828,-0.016168965204560633,-0.0059628239917363735
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,2,False,-0.0007698588295925509,-0.001493385148723148,-0.00017953616991692477
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,2,True,-0.0007698588295925509,-0.0018777982298477753,-3.243893926543691e-05
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,3,False,-0.0007698588295925509,-0.001447100772344223,-0.00018121488450434394
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,3,True,-0.0007698588295925509,-0.0018102983676796078,-1.703748719604028e-05
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,2,False,-0.0033500274535628316,-0.006087516335547362,-0.0011852589161576413
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,2,True,-0.0033500274535628316,-0.006547335851482965,-0.0008713979837513807
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,3,False,-0.0033500274535628316,-0.005865467295116898,-0.001150510060052184
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,3,True,-0.0033500274535628316,-0.006348448098755895,-0.0008532455470512974
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,2,False,-0.003098020194726731,-0.005741775594062034,-0.0010070041233405003
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,2,True,-0.003098020194726731,-0.006119354673087814,-0.000764568852777828
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,3,False,-0.003098020194726731,-0.005520287158004163,-0.0010603183818628974
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,3,True,-0.003098020194726731,-0.005987925055108109,-0.0008407271204611223
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,2,False,-0.0004257608811310595,-0.0010716110033019205,2.2932523631357285e-05
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,2,True,-0.0004257608811310595,-0.0012707055793547094,3.0197472618777277e-05
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,3,False,-0.0004257608811310595,-0.0010060288672489042,1.1478476902903372e-05
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,3,True,-0.0004257608811310595,-0.0012052610521294201,2.7227012078938952e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,2,False,-0.0005886100267844196,-0.0013009748241741576,-4.437067537283174e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,2,True,-0.0005886100267844196,-0.001466963617157722,5.7738512859709137e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,3,False,-0.0005886100267844196,-0.001275408987630998,-4.604956895657398e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,3,True,-0.0005886100267844196,-0.0014311041778120683,5.751326570673037e-05
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,2,False,-0.01651689012709992,-0.020359886517263455,-0.012387414847244661
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,2,True,-0.01651689012709992,-0.03364097418887186,-0.004888461621603192
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,3,False,-0.01651689012709992,-0.020215681398959694,-0.012599396211900255
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,3,True,-0.01651689012709992,-0.033148083894799486,-0.004974349658610362
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,2,False,-0.00032771344402383445,-0.0006956450426072785,-8.114671807810724e-06
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,2,True,-0.00032771344402383445,-0.0008972344020177078,4.292175966450896e-05
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,3,False,-0.00032771344402383445,-0.0006748215022169752,-1.7510309056056968e-05
CSGR,Ex-post best fixed,Combined,CSGR minus Ex-post best fixed,3,True,-0.00032771344402383445,-0.0008541570732939554,4.620442267106936e-05
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,2,False,-0.0021547984345839308,-0.003853970587760684,-0.000825803243741705
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,2,True,-0.0021547984345839308,-0.004044791718886421,-0.000602948484432259
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,3,False,-0.0021547984345839308,-0.0037256511378812797,-0.0007957544310174808
CSGR,Previous-window winner,Combined,CSGR minus Previous-window winner,3,True,-0.0021547984345839308,-0.003960520810090808,-0.0005931943899635109
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,2,False,-0.0018985723461180147,-0.003570930065708674,-0.0006024073900921464
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,2,True,-0.0018985723461180147,-0.003798583568556227,-0.0004799567038947716
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,3,False,-0.0018985723461180147,-0.0034360311853804068,-0.000625717917894719
CSGR,Follow-the-leader,Combined,CSGR minus Follow-the-leader,3,True,-0.0018985723461180147,-0.0036863998562112394,-0.0005346617966797415
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,2,False,-0.00016615597942999847,-0.0004921628094840003,9.176357334874223e-05
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,2,True,-0.00016615597942999847,-0.0005964068904875092,0.00011264475351437563
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,3,False,-0.00016615597942999847,-0.0004545257480907266,8.002793198452383e-05
CSGR,Mean-fold minimum,Combined,CSGR minus Mean-fold minimum,3,True,-0.00016615597942999847,-0.0005604395040429588,0.00011261860473839358
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,2,False,-0.0003162396853348055,-0.0006628799773486346,-5.356404207710718e-05
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,2,True,-0.0003162396853348055,-0.0007361008679651075,3.918934619964973e-05
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,3,False,-0.0003162396853348055,-0.0006465598079563768,-5.3996627522408856e-05
CSGR,Latest-fold minimum,Combined,CSGR minus Latest-fold minimum,3,True,-0.0003162396853348055,-0.0007255281701364048,3.2064028684073634e-05
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,2,False,-0.013451445085864372,-0.015790334711018678,-0.011003874187784203
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,2,True,-0.013451445085864372,-0.02512795331092872,-0.005610254430185858
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,3,False,-0.013451445085864372,-0.01573724208046776,-0.011068782661657898
CSGR,Global-CQR,Combined,CSGR minus Global-CQR,3,True,-0.013451445085864372,-0.024848375457443395,-0.005666834527922658
