left,right,scope,contrast,block_months,resample_datasets,mean_delta,ci95_low,ci95_high
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,2,False,1.7213924566343186e-05,-4.969233394265069e-05,8.636583617447264e-05
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,2,True,1.7213924566343186e-05,-4.969233394265069e-05,0.00011106389647441962
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,3,False,1.7213924566343186e-05,-4.220819820904689e-05,8.636583617447264e-05
CSGR,Ex-post best fixed,LightGBM,CSGR minus Ex-post best fixed,3,True,1.7213924566343186e-05,-4.220819820904689e-05,0.00010357976074081583
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,2,False,-0.001079128627807865,-0.0020738780773010067,-0.0002999619093062264
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,2,True,-0.001079128627807865,-0.0021575687829035223,-0.00025821935971400236
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,3,False,-0.001079128627807865,-0.0019623863015769388,-0.00032089512614693277
CSGR,Previous-window winner,LightGBM,CSGR minus Previous-window winner,3,True,-0.001079128627807865,-0.0020964834462194634,-0.00028348723935228383
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,2,False,-0.0007900604545781996,-0.001778379661607112,-1.6905514848754834e-05
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,2,True,-0.0007900604545781996,-0.0019841693045256252,-1.770569299147988e-05
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,3,False,-0.0007900604545781996,-0.0017303067087081868,-3.448400383558372e-05
CSGR,Follow-the-leader,LightGBM,CSGR minus Follow-the-leader,3,True,-0.0007900604545781996,-0.0019439481653650025,-2.2028705560405565e-05
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,2,False,1.7213924566343186e-05,-4.969233394265069e-05,9.384997190807644e-05
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,2,True,1.7213924566343186e-05,-4.705594526445601e-05,0.00011106389647441962
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,3,False,1.7213924566343186e-05,-4.969233394265069e-05,8.636583617447264e-05
CSGR,Mean-fold minimum,LightGBM,CSGR minus Mean-fold minimum,3,True,1.7213924566343186e-05,-4.220819820904689e-05,0.00010173486208174086
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,2,False,-0.00014869349212411707,-0.0005452925100207445,8.326961906415608e-05
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,2,True,-0.00014869349212411707,-0.0007613132066247806,0.0001408468431804712
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,3,False,-0.00014869349212411707,-0.0005293500954365074,7.04234215902356e-05
CSGR,Latest-fold minimum,LightGBM,CSGR minus Latest-fold minimum,3,True,-0.00014869349212411707,-0.0007613132066247806,0.0001377506260701546
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,2,False,-0.010694951233130875,-0.012450034880037878,-0.008847798760169745
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,2,True,-0.010694951233130875,-0.017023740877468337,-0.006076857953835734
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,3,False,-0.010694951233130875,-0.012443536395748656,-0.008799266813888396
CSGR,Global-CQR,LightGBM,CSGR minus Global-CQR,3,True,-0.010694951233130875,-0.016910205472810778,-0.006055626797649804
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,2,False,-0.0006362591868240302,-0.0013122861303185192,-8.478253029402969e-05
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,2,True,-0.0006362591868240302,-0.0017659084933781335,1.584303811219634e-05
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,3,False,-0.0006362591868240302,-0.0012332824527059728,-9.037560842934708e-05
CSGR,Ex-post best fixed,Persistence,CSGR minus Ex-post best fixed,3,True,-0.0006362591868240302,-0.0016547336570446741,2.202878702901658e-05
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,2,False,-0.0035456641686609607,-0.006487623003907026,-0.0012250037407270887
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,2,True,-0.0035456641686609607,-0.006908017487484478,-0.0008735250231937464
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,3,False,-0.0035456641686609607,-0.006269271227482359,-0.0011907785114287001
CSGR,Previous-window winner,Persistence,CSGR minus Previous-window winner,3,True,-0.0035456641686609607,-0.006677487217547401,-0.0008776596552946972
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,2,False,-0.0031448468836463433,-0.0059791831896054345,-0.0009287792901878692
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,2,True,-0.0031448468836463433,-0.006271158916116117,-0.0007122558972515867
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,3,False,-0.0031448468836463433,-0.005751500452771183,-0.0009664927859900656
CSGR,Follow-the-leader,Persistence,CSGR minus Follow-the-leader,3,True,-0.0031448468836463433,-0.006163917289597758,-0.0008099370621888233
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,2,False,-0.0003272151800160678,-0.000972799443389068,8.037698017496123e-05
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,2,True,-0.0003272151800160678,-0.0012439253996656525,7.989313583248708e-05
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,3,False,-0.0003272151800160678,-0.0009088446811571983,7.703622177638461e-05
CSGR,Mean-fold minimum,Persistence,CSGR minus Mean-fold minimum,3,True,-0.0003272151800160678,-0.0011808080565345726,7.879890313213954e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,2,False,-0.0004332968284711041,-0.0010989891306155111,4.854588335534297e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,2,True,-0.0004332968284711041,-0.0012723912669430923,0.00011250059765510626
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,3,False,-0.0004332968284711041,-0.001043895879042666,3.339152573057034e-05
CSGR,Latest-fold minimum,Persistence,CSGR minus Latest-fold minimum,3,True,-0.0004332968284711041,-0.001195903318375549,0.00010553071732238532
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,2,False,-0.017323203108996977,-0.021318570596579416,-0.013045404185606726
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,2,True,-0.017323203108996977,-0.03469465048324372,-0.005424582792130263
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,3,False,-0.017323203108996977,-0.02114803491098743,-0.013312683752462163
CSGR,Global-CQR,Persistence,CSGR minus Global-CQR,3,True,-0.017323203108996977,-0.0340856390700589,-0.00548646840987996
