dataset,forecaster_key,window,window_order,scenario,comparison,target,base,delta_picp,delta_mpiw,delta_winkler_interval_score,delta_macro_user_abs_coverage_gap,delta_max_abs_cluster_coverage_gap,delta_joint_loss,relative_mpiw_change,relative_winkler_interval_score_change
London,lgbm,2013-03,0,O,aci_global_vs_static_global,aci_global,static_global,0.0041519718504913206,0.000972340108175318,-2.9386259257080383e-05,-0.0006901332075517005,-0.0054704864386067,-0.003080309823079202,0.0025433302527978793,-4.473953892201348e-05
London,lgbm,2013-04,1,O,aci_global_vs_static_global,aci_global,static_global,0.002402994222529209,0.0005082281044285208,-4.342982137250928e-07,-0.00022338650054180148,0.0010077388367433007,0.0003921761681007496,0.0015512188292551414,-7.810289553347199e-07
London,lgbm,2013-05,2,O,aci_global_vs_static_global,aci_global,static_global,0.004339377802879074,0.0008326875706201053,5.883851608712298e-06,-0.0004741287490175952,0.004822289773881199,0.0021740805124318037,0.003005243489141286,1.2082039619711309e-05
London,lgbm,2013-06,3,O,aci_global_vs_static_global,aci_global,static_global,0.0013306840160793865,0.00022009030923969553,1.6277045921109234e-06,-3.2257891044003284e-05,0.0019563008130082,0.0009620214609820966,0.0008561577315884932,3.6111395030820134e-06
London,lgbm,2013-07,4,O,aci_global_vs_static_global,aci_global,static_global,-0.01327277715613695,-0.0025915605394132013,-0.00019031200320729358,-0.0020090505859651983,-0.0225708103855232,-0.012289930485744203,-0.01096241909385233,-0.0004760336390413116
London,lgbm,2013-08,5,O,aci_global_vs_static_global,aci_global,static_global,-0.0021133008899523187,-0.000351247104802499,-7.2606655676099585e-06,-1.4404981091009628e-06,-0.0033690457649209003,-0.0016852431315149997,-0.0015168376818537025,-1.836565706313955e-05
London,lgbm,2013-09,6,O,aci_global_vs_static_global,aci_global,static_global,0.012327527865827137,0.002158142537181995,-6.166126223378088e-05,-0.0012446712475119026,-0.007916542941502598,-0.00458060709450725,0.008284236359376302,-0.00013385891810096403
London,lgbm,2013-10,7,O,aci_global_vs_static_global,aci_global,static_global,0.005242525667793152,0.0010456516482065803,-5.021963916718164e-06,-0.0006270768499459997,-0.0006341659899773994,-0.0006306214199616987,0.0035992359640338195,-9.92704802501579e-06
London,lgbm,2013-11,8,O,aci_global_vs_static_global,aci_global,static_global,0.005802861243061064,0.0014171822780025267,-2.5554384182169265e-05,-0.00011918773343019828,-0.0078602102267434,-0.003989698980086796,0.004046527408778323,-4.173515195648588e-05
London,lgbm,2013-12,9,O,aci_global_vs_static_global,aci_global,static_global,-0.0002381106124689225,-7.290237820500867e-05,-2.817053134651637e-06,-7.523445890649655e-05,-0.0003115418039909999,-0.0001933881314487504,-0.0001976891844326751,-4.529420653373276e-06
London,lgbm,2014-01,10,O,aci_global_vs_static_global,aci_global,static_global,-0.0036388348730647113,-0.000981735564318409,-6.791124542049332e-06,-0.00023456061663670175,-0.0046623457253921,-0.0024484531710144003,-0.0026720495599039155,-1.0905440697495172e-05
Ausgrid,lgbm,2012-07,0,O,aci_global_vs_static_global,aci_global,static_global,0.007426187650591665,0.0026788175008906068,-6.231479508767013e-05,-0.0006724925378501986,-0.006814751933597301,-0.0037436222357237516,0.004493506955645577,-6.313329914873087e-05
Ausgrid,lgbm,2012-08,1,O,aci_global_vs_static_global,aci_global,static_global,-0.005326896105297241,-0.0016375290902980177,-0.0001346038789481474,-0.0003425396482900009,-0.0044895244429665,-0.002416032045628253,-0.0029206967769629826,-0.00014996194905891278
Ausgrid,lgbm,2012-09,2,O,aci_global_vs_static_global,aci_global,static_global,-0.012381549609810527,-0.0037224707884823127,-0.00026325911488223053,-0.0031377740616871028,-0.017195391414141503,-0.0101665827379143,-0.008892420025084788,-0.0004089986135741058
Ausgrid,lgbm,2012-10,3,O,aci_global_vs_static_global,aci_global,static_global,0.00308375588880494,0.0009565414351239143,-2.318379755328337e-05,0.0001780127306073992,-0.002405206564799001,-0.0011135969170958,0.002548797890486014,-3.8417695075898505e-05
Ausgrid,lgbm,2012-11,4,O,aci_global_vs_static_global,aci_global,static_global,0.006287160906726208,0.0017775585290998874,-1.7112908916927516e-05,-0.0008523782980305039,-0.0045991715399609995,-0.0027257749189957547,0.004851922320291214,-2.815909578093696e-05
Ausgrid,lgbm,2012-12,5,O,aci_global_vs_static_global,aci_global,static_global,-7.417197108638973e-05,-9.10045454329822e-05,4.3579687869499395e-07,6.967670011150118e-05,-2.2910557184700406e-05,2.3383071463402988e-05,-0.00022688271027228944,6.604473757055206e-07
Ausgrid,lgbm,2013-01,6,O,aci_global_vs_static_global,aci_global,static_global,0.005965224583737938,0.002010799852399048,-1.6102079975155448e-05,-0.0004162620922789975,-0.002863390912520799,-0.0016398265023998965,0.0044956277044722,-2.0709422015486255e-05
Ausgrid,lgbm,2013-02,7,O,aci_global_vs_static_global,aci_global,static_global,-0.005479574773053053,-0.0017441593819769174,-6.146032134424217e-05,-0.00040412486064660136,-0.0065019615800865,-0.003453043220366551,-0.004535785307442137,-9.753214375309982e-05
Ausgrid,lgbm,2013-03,8,O,aci_global_vs_static_global,aci_global,static_global,-0.006070863451648867,-0.0019881924484811964,-7.232506063026278e-05,-0.0002557809184738011,-0.0081027003910068,-0.0041792406547402974,-0.0052101005895364184,-0.0001158590803761394
Ausgrid,lgbm,2013-04,9,O,aci_global_vs_static_global,aci_global,static_global,0.005139817911557043,0.001509917678118089,-2.6020092352752044e-05,-0.0001045150501672032,-0.0037463450292397997,-0.0019254300397034997,0.0040532245553700835,-4.352433106274024e-05
Ausgrid,lgbm,2013-05,10,O,aci_global_vs_static_global,aci_global,static_global,0.010112112058114908,0.0031416504387550837,-0.00010292675909229221,-0.0013517279821627995,-0.008211893982267498,-0.004781810982215147,0.007069884141910618,-0.0001402058983924768
Ausgrid,lgbm,2013-06,11,O,aci_global_vs_static_global,aci_global,static_global,0.009791898922333786,0.0035297261374276356,-0.0001139378492408527,-0.0017047565960608968,-0.008114035087719202,-0.004909395841890051,0.006249585158414029,-0.0001201252171361399
UCI Electricity,lgbm,2014-01,0,O,aci_global_vs_static_global,aci_global,static_global,-0.008596361741848635,-0.8888140129893145,-0.37536879894651065,0.0031058205025991034,0.06093638088042,0.032021100691509555,-0.0024916299192852074,-0.0008974189109955884
UCI Electricity,lgbm,2014-02,1,O,aci_global_vs_static_global,aci_global,static_global,-0.009662996971299354,-1.143055155307593,-0.5411742434689586,0.003188657887951203,0.06228055649971111,0.03273460719383115,-0.0032792284261417546,-0.001338267017028848
UCI Electricity,lgbm,2014-03,2,O,aci_global_vs_static_global,aci_global,static_global,0.003772255617434217,0.9173711084753222,0.3021642433283773,-0.0009439026219297958,-0.020425203130452006,-0.010684552876190904,0.0026692305898763794,0.0007383249009226657
UCI Electricity,lgbm,2014-04,3,O,aci_global_vs_static_global,aci_global,static_global,0.0057814902581379,1.1718203377647,0.09521197448515295,-0.002247745524698301,-0.038878586514191495,-0.020563166019444898,0.003206156528505082,0.00019717998652278853
UCI Electricity,lgbm,2014-05,4,O,aci_global_vs_static_global,aci_global,static_global,0.004834960116512743,1.5396907271779696,0.6236580839010912,-0.0011134222439741007,0.0043104058936035,0.0015984918248146962,0.003302156982043689,0.0011755374043423592
UCI Electricity,lgbm,2014-06,5,O,aci_global_vs_static_global,aci_global,static_global,-0.0020077168109829957,-0.16228259068259376,-0.08568095314683433,-0.00022860848604489697,-0.0005746285045017986,-0.00040161849527334606,-0.00032026087998023,-0.00013943659916762166
UCI Electricity,lgbm,2014-07,6,O,aci_global_vs_static_global,aci_global,static_global,-0.0015343597920769447,-0.2222191955773951,-0.13530110241356397,-0.0007047201051455995,-0.0005064815470708986,-0.0006056008261082491,-0.0003915479199360972,-0.00020028240214322744
UCI Electricity,lgbm,2014-08,7,O,aci_global_vs_static_global,aci_global,static_global,-0.004089981567947931,-0.5749670441845183,-0.09830854564290803,0.00044185615105599846,-0.0012963094141815006,-0.00042722663156275625,-0.0010034790050631847,-0.00013834264615312657
UCI Electricity,lgbm,2014-09,8,O,aci_global_vs_static_global,aci_global,static_global,-0.005335897446355542,-0.39508269864199974,-0.1606106515346255,0.0018168358627779005,0.0254960728974345,0.013656454380106202,-0.0007193714973896873,-0.00024652076229209513
UCI Electricity,lgbm,2014-10,9,O,aci_global_vs_static_global,aci_global,static_global,0.010184004767862631,1.334824764658947,0.04173110019701198,-0.005774521141603102,-0.0822303815468086,-0.04400245134420585,0.0030663987160583937,6.828159731206014e-05
UCI Electricity,lgbm,2014-11,10,O,aci_global_vs_static_global,aci_global,static_global,-0.008353080810346691,-1.138250033411964,-0.24779051296837906,0.002964772676289501,0.055600425108514,0.02928259889240175,-0.003200227666330576,-0.0005516334273781874
UCI Electricity,lgbm,2014-12,11,O,aci_global_vs_static_global,aci_global,static_global,0.006932740771146473,2.565547485727052,0.6527086438683796,-0.0030442487656050995,-0.0239020985992721,-0.013473173682438597,0.007358981977926123,0.0015391190237008415
London,persistence,2013-03,0,O,aci_global_vs_static_global,aci_global,static_global,-0.005367353906621686,-0.011111102089279401,0.00021380124831149594,-0.0004383510841135044,0.005475724016951795,0.0025186864664191455,-0.02709821735601372,0.00020533393404729378
London,persistence,2013-04,1,O,aci_global_vs_static_global,aci_global,static_global,-0.019735023345562985,-0.038515787083209074,-0.0029187400116770235,-0.005088705095686,-0.0163428908607422,-0.010715797978214099,-0.09612512130508215,-0.003160273030911082
London,persistence,2013-05,2,O,aci_global_vs_static_global,aci_global,static_global,-0.0277031359428328,-0.04490368616183088,-0.004469615969497576,-0.006455565470304396,-0.027433225914869203,-0.016944395692586798,-0.12053086491801142,-0.005467956466225877
London,persistence,2013-06,3,O,aci_global_vs_static_global,aci_global,static_global,-0.014483230017310333,-0.018447489258140326,-0.001773194890649754,0.0009122568153270005,-0.016488821138211398,-0.0077882821614422,-0.05539144184076772,-0.0023415131059614388
London,persistence,2013-07,4,O,aci_global_vs_static_global,aci_global,static_global,-0.024392670234489544,-0.02770653417152852,-0.004119124620397874,0.0012925355211622983,-0.0323646079202729,-0.015536036199555299,-0.08724136287592663,-0.006177185352109721
London,persistence,2013-08,5,O,aci_global_vs_static_global,aci_global,static_global,-0.009598505316074535,-0.01067043614621982,-0.0010979096919612186,0.0017458234780172027,-0.014818700413087596,-0.006536438467535197,-0.03571491778500586,-0.0016623856626906547
London,persistence,2013-09,6,O,aci_global_vs_static_global,aci_global,static_global,0.02350346023164518,0.025602805186800026,-0.0014110697404555728,-0.010953179758408503,-0.028149509803921603,-0.019551344781165055,0.08914086961969798,-0.001845488599057841
London,persistence,2013-10,7,O,aci_global_vs_static_global,aci_global,static_global,0.02486323406234836,0.027775305888762758,-0.0015637995307277164,-0.011797303521374702,-0.0301172956232149,-0.020957299572294797,0.09050885505751116,-0.0018712193235939562
London,persistence,2013-11,8,O,aci_global_vs_static_global,aci_global,static_global,0.027735636208036762,0.043172937571523295,-0.005885811829408394,-0.011267926223396701,-0.027889053567647697,-0.019578489895522196,0.1291462269336692,-0.006017768701349251
London,persistence,2013-12,9,O,aci_global_vs_static_global,aci_global,static_global,0.009772367954054118,0.01897409866186628,-0.0013227350150689654,-0.0023629074750742968,-0.009819350185239798,-0.006091128830157045,0.05185916701456821,-0.0013350139961312906
London,persistence,2014-01,10,O,aci_global_vs_static_global,aci_global,static_global,0.0008228416540730921,0.001977354674904397,-0.0003891019020256792,-3.1653792184199725e-05,-0.0009358914365933009,-0.0004837726143887486,0.005087175613953189,-0.0003851117649184405
