scenario,method_name,dataset,forecaster_key,window,window_order,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,joint_loss,selected_static_policy,router_loss_audit
M,static_global,London,lgbm,2013-03,0,0.7945526882269817,0.3823098109675931,0.6568297297007072,0.0354694288808543,0.0081409367900465,0.021805182835450403,,
M,static_segment,London,lgbm,2013-03,0,0.7945513436765119,0.3821209205675268,0.6568568159627298,0.0354855935778892,0.0156126206664644,0.025549107122176798,,
M,static_user,London,lgbm,2013-03,0,0.7948175646695163,0.3809369540410132,0.6559613458987453,0.0265550664867221,0.0151369261935421,0.020845996340132098,,
M,static_global,London,lgbm,2013-04,1,0.7969018191319479,0.3276314694249553,0.5560590433410613,0.034157066104265,0.0043023705338883,0.01922971831907665,,
M,static_segment,London,lgbm,2013-04,1,0.7969059885840402,0.3275802773027239,0.5560580781783522,0.0339498769261822,0.0053174869332636,0.0196336819297229,,
M,static_user,London,lgbm,2013-04,1,0.7946225186548236,0.3272712906030834,0.5563624711564996,0.0319511595742441,0.0062633416067636,0.019107250590503853,,
M,static_global,London,lgbm,2013-05,2,0.7951092912708178,0.2770782379626871,0.4869915836985882,0.0394865205883957,0.0099069260666642,0.024696723327529948,,
M,static_segment,London,lgbm,2013-05,2,0.7950998783037834,0.2769957307424722,0.4869798301854545,0.0392877889131448,0.0085815575925454,0.0239346732528451,,
M,static_user,London,lgbm,2013-05,2,0.7882956478474561,0.2776388117389158,0.4881402320846547,0.0393049938498812,0.0150864335391404,0.0271957136945108,,
M,static_global,London,lgbm,2013-06,3,0.7989415708745667,0.2570674784789312,0.4507454200320204,0.0424144679113881,0.0118817750677506,0.02714812148956935,,
M,static_segment,London,lgbm,2013-06,3,0.7987455139819155,0.2568087857820277,0.45071612555214,0.0416938413411703,0.0030149051490515,0.0223543732451109,,
M,static_user,London,lgbm,2013-06,3,0.7979014960114241,0.257541511359061,0.4496994645566198,0.0279995854172746,0.0095020325203252,0.018750808968799902,,
M,static_global,London,lgbm,2013-07,4,0.8158017193148562,0.2364040744315765,0.3997868797477519,0.0484653107669883,0.0291863362182008,0.03882582349259455,,
M,static_segment,London,lgbm,2013-07,4,0.8156093992081254,0.2361719784482953,0.3997172837109208,0.0475299224579899,0.0197355921469284,0.03363275730245915,,
M,static_user,London,lgbm,2013-07,4,0.8142739176278189,0.2366429843047595,0.3987737845627966,0.0381437438232902,0.0197355921469284,0.028939667985109302,,
M,static_global,London,lgbm,2013-08,5,0.8018659425160648,0.2315653869919988,0.3953392760546718,0.0461330560064945,0.0115711557220495,0.028852105864271997,,
M,static_segment,London,lgbm,2013-08,5,0.8018202349904552,0.2314978495397471,0.395313240503384,0.0456450128517019,0.0047071200034802,0.02517606642759105,,
M,static_user,London,lgbm,2013-08,5,0.8008523109187212,0.2310230378940098,0.3940003418709672,0.0295702833516979,0.0046161573416755,0.0170932203466867,,
M,static_global,London,lgbm,2013-09,6,0.7857155760975753,0.2605119462507074,0.4606436620627132,0.0434892724409984,0.0164779507751264,0.0299836116080624,,
M,static_segment,London,lgbm,2013-09,6,0.7856780557219267,0.2605311022408832,0.4606350783977724,0.0434063488823664,0.0161928104575164,0.0297995796699414,,
M,static_user,London,lgbm,2013-09,6,0.7815925037068742,0.2592261143873318,0.4596661983337289,0.0353012708877478,0.0191503267973857,0.02722579884256675,,
M,static_global,London,lgbm,2013-10,7,0.7939984717708086,0.2905204489662504,0.5058869367875528,0.0411187241380709,0.0081054539141003,0.0246120890260856,,
M,static_segment,London,lgbm,2013-10,7,0.7942029531414796,0.2904638790513434,0.505874638195636,0.0409083515231616,0.010365552086919,0.0256369518050403,,
M,static_user,London,lgbm,2013-10,7,0.7917020921672873,0.2904728641464786,0.5047603284715929,0.0288005368099611,0.0131035328656609,0.020952034837811,,
M,static_global,London,lgbm,2013-11,8,0.7937210065523801,0.3502218408129811,0.6122988172850768,0.0415710067179623,0.0136062949442247,0.0275886508310935,,
M,static_segment,London,lgbm,2013-11,8,0.7938280806754847,0.3500595850234066,0.6123271309075815,0.0415912708435148,0.0226184325317839,0.03210485168764935,,
M,static_user,London,lgbm,2013-11,8,0.7894797588190141,0.3508479955711796,0.6111021697948463,0.0330712052105148,0.0245157246554805,0.02879346493299765,,
M,static_global,London,lgbm,2013-12,9,0.8004754140703193,0.3687727197328605,0.6219455754354903,0.0451851420370649,0.0075573482873398,0.02637124516220235,,
M,static_segment,London,lgbm,2013-12,9,0.8006704764364662,0.3688192644172796,0.62193783976626,0.0447212858093904,0.0063685703510584,0.0255449280802244,,
M,static_user,London,lgbm,2013-12,9,0.7973692140466427,0.3695178131994346,0.6205063295307099,0.0317092786159303,0.0063093928772066,0.01900933574656845,,
M,static_global,London,lgbm,2014-01,10,0.8036563292714929,0.3674091899529406,0.6227281162153454,0.0426546980928266,0.0074874346025932,0.0250710663477099,,
M,static_segment,London,lgbm,2014-01,10,0.8036724779469651,0.3674661008373635,0.6227268817708613,0.042557795927229,0.0046528894938744,0.0236053427105517,,
M,static_user,London,lgbm,2014-01,10,0.7996151232345797,0.3695304319091982,0.6209876630173171,0.0304529769428744,0.0047042633375119,0.01757862014019315,,
M,static_global,Ausgrid,lgbm,2012-07,0,0.7903473046355234,0.5961529663429094,0.987035303522908,0.0392171935124249,0.0161443595548009,0.0276807765336129,,
M,static_segment,Ausgrid,lgbm,2012-07,0,0.7905248678390333,0.5958990484177601,0.9870107291276692,0.0389461286726363,0.0143282624633431,0.0266371955679897,,
M,static_user,Ausgrid,lgbm,2012-07,0,0.7910418240011508,0.5967308885848074,0.9856568742933758,0.0269491494947315,0.0137707722385141,0.0203599608666228,,
M,static_global,Ausgrid,lgbm,2012-08,1,0.8071281511849534,0.5606638467964359,0.8975868864925733,0.0379953788614377,0.0119249528877064,0.024960165874572053,,
M,static_segment,Ausgrid,lgbm,2012-08,1,0.8069685690653433,0.5600969433278394,0.8975463521971658,0.0379140144567914,0.0081494057724956,0.0230317101146435,,
M,static_user,Ausgrid,lgbm,2012-08,1,0.808285683460999,0.5613808815785815,0.8966500892406493,0.0258478081058726,0.0116293988269794,0.018738603466426,,
M,static_global,Ausgrid,lgbm,2012-09,2,0.8152104236343367,0.4186116690373967,0.6436674994609267,0.0406749349684132,0.0259943181818181,0.03333462657511565,,
M,static_segment,Ausgrid,lgbm,2012-09,2,0.8146530100334448,0.4180925917921559,0.6435830355722605,0.0396576551467855,0.0250552398989898,0.032356447522887646,,
M,static_user,Ausgrid,lgbm,2012-09,2,0.8142767558528428,0.4186851842692227,0.6435365521608878,0.0353748606465997,0.0277777777777776,0.03157631921218865,,
M,static_global,Ausgrid,lgbm,2012-10,3,0.7970924587334125,0.3752912063739654,0.6034666449270617,0.0366346603373251,0.0103671477079796,0.02350090402265235,,
M,static_segment,Ausgrid,lgbm,2012-10,3,0.7968384759233287,0.3749659216437284,0.6034504618987951,0.0364615924047901,0.0054788826072498,0.02097023750601995,,
M,static_user,Ausgrid,lgbm,2012-10,3,0.7951460064012659,0.3746521455102637,0.6026868330308179,0.02739418132125,0.0068091120718324,0.017101646696541198,,
M,static_global,Ausgrid,lgbm,2012-11,4,0.7931832961724266,0.3663617040334639,0.6077222454178571,0.0370517465626161,0.0116593567251462,0.024355551643881153,,
M,static_segment,Ausgrid,lgbm,2012-11,4,0.792985878855444,0.36623742139381,0.6077126334295578,0.0369611668524712,0.0098563762626262,0.0234087715575487,,
M,static_user,Ausgrid,lgbm,2012-11,4,0.7932251021924935,0.3660661309671306,0.6066329793118836,0.0253553511705685,0.0105350378787879,0.0179451945246782,,
M,static_global,Ausgrid,lgbm,2012-12,5,0.8000908044736936,0.401108331806177,0.659851026328109,0.0397678642068543,0.0093001588465297,0.024534011526691997,,
M,static_segment,Ausgrid,lgbm,2012-12,5,0.7999222318121336,0.4010363710345866,0.6598288545736664,0.0396613262847484,0.0036290322580645,0.02164517927140645,,
