dataset,forecaster_key,window,static_delta_user_gap,static_delta_max_group_gap,static_delta_weighted_group_gap,static_max_conflict,static_weighted_conflict,aci_delta_user_gap,aci_delta_max_group_gap,aci_delta_weighted_group_gap,aci_max_conflict,aci_weighted_conflict,pid_delta_user_gap,pid_delta_max_group_gap,pid_delta_weighted_group_gap,pid_max_conflict,pid_weighted_conflict,window_order
Ausgrid,lgbm,2012-07,-0.012268044017693377,0.0025940860215053485,-0.0006945193656273923,1,0,-0.033714532312007744,-0.004368279569892497,-0.001903297730787191,0,0,-0.036796939619520234,-0.0035349462365591444,-0.001963983888948793,0,0,0
Ausgrid,lgbm,2012-08,-0.012147570755565142,0.001119664385793362,0.0011575322760456076,1,1,-0.0320148703563851,-0.0021300369284240617,0.00034388822958241697,0,1,-0.03588889488258349,-0.004825268817204353,-0.003024867839033333,0,0,1
Ausgrid,lgbm,2012-09,-0.00530007432181346,0.0002638888888888413,-0.0009336677814938688,1,0,-0.031301096246748414,-0.0021388888888889124,-0.0008988294314381472,0,0,-0.03534698996655518,-0.004729166666666673,-0.003174934968413157,0,0,2
Ausgrid,lgbm,2012-10,-0.009240479016075085,0.004113038992071272,0.0019464523321465889,1,1,-0.031582425288596394,0.0008467741935483941,0.0003348976876325929,1,1,-0.03579134750242743,-0.0007862903225807072,-0.0005771927931815434,0,0,3
Ausgrid,lgbm,2012-11,-0.01169639539204756,-0.00022222222222223476,-4.180602006688232e-05,0,0,-0.031015421776291324,-0.001986111111111244,-0.0011008918617614514,0,0,-0.03460841694537346,-0.0015034371492704812,-0.0006479933110367313,0,0,4
Ausgrid,lgbm,2012-12,-0.014051318013449839,0.0036996307157597386,0.0029938504693062746,1,1,-0.03480238788794189,-0.0011345307917889347,-0.000515158053727499,0,0,-0.03841254000791165,-0.0026542304768111258,-0.0014901823281907086,0,0,5
Ausgrid,lgbm,2013-01,-0.015635001977919227,0.0007806560225914749,-0.0006720430107527058,1,0,-0.03849525299385046,-0.0033529515585968284,-0.0015153558456503958,0,0,-0.04179972668752469,-0.003612061474964734,-0.0022656165713669002,0,0,6
Ausgrid,lgbm,2013-02,-0.013096731167383344,-0.003534226190476164,-0.002232142857142813,0,0,-0.03712225274725276,-0.002098214285714217,-0.0023306856187290965,0,0,-0.04090868370759673,-0.004872083934583937,-0.003301182513139023,0,0,7
Ausgrid,lgbm,2013-03,-0.01633896141259394,0.000483803084609602,-0.0018003560254611648,1,0,-0.036244021289603336,-4.561746497233621e-05,0.0003232099830977242,0,1,-0.0398618153702305,-0.002143817204301013,-0.001349030819577791,0,0,8
Ausgrid,lgbm,2013-04,-0.010918338907469335,0.0025049102132436163,0.002919453734671139,1,1,-0.03493357487922703,-0.0017375140291807645,-0.0005876068376068938,0,0,-0.03928604607952434,-0.0013416105499438613,-0.0008848940914157791,0,0,9
Ausgrid,lgbm,2013-05,-0.011008918617614258,0.004630376344085918,0.004818930485129595,1,1,-0.03577201783723521,-0.0027555799934831926,-0.0024881324846261245,0,0,-0.03972785629517746,-0.004475806451612829,-0.0029673283705541663,0,0,10
Ausgrid,lgbm,2013-06,-0.012423355629877359,0.00550000000000006,0.0026779078409513695,1,1,-0.0351124117428465,-0.0016527777777778363,-0.0009708286882200098,0,0,-0.039174563359345965,-0.001958333333333284,-0.0011171497584540318,0,0,11
Ausgrid,persistence,2012-07,-0.014526468155500419,0.0022425871619419224,0.0019801668644585414,1,1,-0.043871597079871955,-0.0025625203649396466,-0.0020925486388319813,0,0,-0.049354029560901895,-0.00073252688172043,-6.697953752650529e-05,0,0,0
Ausgrid,persistence,2012-08,-0.005364656381486692,-0.0033333333333332993,-0.005646060344517546,0,0,-0.035371039666271115,0.001081989247311843,0.001332847844068047,1,1,-0.04326158880857338,-0.0016330645161288793,-0.001069874492034368,0,0,1
Ausgrid,persistence,2012-09,0.008612040133779267,-0.010898779461279484,-0.01041898922333706,0,0,-0.021564938684503928,-0.006354166666666661,-0.0023620401337793306,0,0,-0.0405588071348941,-0.015008908529741904,-0.010941564474173182,0,0,2
Ausgrid,persistence,2012-10,0.00389560182687812,-0.005376344086021501,-0.006252921926133727,0,0,-0.028031161218398267,-0.006924079504724623,-0.003980562448304395,0,0,-0.036015211996979185,-0.014688077006625444,-0.010464990829647185,0,0,3
Ausgrid,persistence,2012-11,-0.0028381642512077185,-0.011500561167227752,-0.004584726867335545,0,0,-0.03269230769230768,-0.012152777777777901,-0.008830360460795305,0,0,-0.03833147528799701,-0.015655583613916946,-0.009141583054626508,0,0,4
Ausgrid,persistence,2012-12,-0.011020156795051604,0.0013642473118279375,-0.0008266803322904224,1,0,-0.03941273779983458,-0.0006922043010751944,-0.0012901427698061713,0,0,-0.048074675441435594,-0.01012504072987952,-0.0064232926960837156,0,0,5
Ausgrid,persistence,2013-01,-0.014070198151544581,-0.004091384272835952,0.0006185492861509375,0,1,-0.04225599669148056,-0.005342741935483897,-0.0027416657676124587,0,0,-0.0479087999424605,-0.007043010752688206,-0.0038542453339087046,0,0,6
Ausgrid,persistence,2013-02,-0.008953455964325535,-0.005012926887926872,-0.0034241121197642267,0,0,-0.04001532887402452,-0.006443452380952452,-0.004718107978977553,0,0,-0.04613145007166744,-0.010446428571428523,-0.0065680243669373264,0,0,7
