dataset,forecaster_key,window,window_order,comparison,target,base,delta_picp,delta_mpiw,delta_winkler_interval_score,delta_macro_user_abs_coverage_gap,delta_max_abs_cluster_coverage_gap,relative_mpiw_change,relative_winkler_interval_score_change
London,lgbm,2013-03,0,aci_user_vs_static_user,aci_user,rolling_user_norm,0.005874341002200967,0.0031528554882070403,-0.00221136124429433,-0.0211892202476148,-0.0139768388904487,0.00827658082200025,-0.0033711761495100003
London,lgbm,2013-04,1,aci_user_vs_static_user,aci_user,rolling_user_norm,0.005795538408297718,0.000457113721388569,-0.002831389115164895,-0.026579434423831004,-0.0041555636689635,0.0013967425023631518,-0.005089108741068288
London,lgbm,2013-05,2,aci_user_vs_static_user,aci_user,rolling_user_norm,0.01179848182288834,0.0007863784198055002,-0.0026436534993070637,-0.0345792387575455,-0.0135849911053613,0.0028323792876083537,-0.005415766465339398
London,lgbm,2013-06,3,aci_user_vs_static_user,aci_user,rolling_user_norm,0.003341310021566235,0.00019910764635561184,-0.000701268458769222,-0.0231202657281105,-0.0079726588021377,0.0007731089458352156,-0.001559415818875026
London,lgbm,2013-07,4,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.010114961697366143,-0.003802494620680885,-0.0014817144428895257,-0.031115652633808402,-0.0138259974667512,-0.01606848659322121,-0.0037156766574162644
London,lgbm,2013-08,5,aci_user_vs_static_user,aci_user,rolling_user_norm,0.0001344338988519267,-0.0007151413488782066,-0.0008005641967759325,-0.0247238040935889,-0.0030690011113264997,-0.003095541273274675,-0.002031887061250603
London,lgbm,2013-09,6,aci_user_vs_static_user,aci_user,rolling_user_norm,0.01716070810676351,0.003974949931763727,-0.0011381595245122944,-0.0297546756844403,-0.017478497544617,0.015333910092963922,-0.002476056600720427
London,lgbm,2013-10,7,aci_user_vs_static_user,aci_user,rolling_user_norm,0.008798080027551225,0.0017448698450083788,-0.000895108270554168,-0.0232392671958381,-0.0119554546487632,0.0060069977625465286,-0.0017733332436496011
London,lgbm,2013-11,8,aci_user_vs_static_user,aci_user,rolling_user_norm,0.011388793093858096,0.003714411488893954,-0.0016267088239981797,-0.0265557778400656,-0.0228685139696573,0.01058695371152656,-0.0026619261138350787
London,lgbm,2013-12,9,aci_user_vs_static_user,aci_user,rolling_user_norm,0.00430886040529932,0.0014500302889293715,-0.0023738571315493617,-0.0251013978492291,-0.0041597070286722,0.003924114716891245,-0.0038256775452149123
London,lgbm,2014-01,10,aci_user_vs_static_user,aci_user,rolling_user_norm,0.002038770278362745,-0.0012076078672690338,-0.002252114924851889,-0.0247365897563408,-0.00038136600632369955,-0.0032679524147168743,-0.0036266661303850822
Ausgrid,lgbm,2012-07,0,aci_user_vs_static_user,aci_user,rolling_user_norm,0.007819523860898348,0.0030004811867150316,-0.0013329552307458359,-0.0221189808321646,-0.0114323680351905,0.005028198211476702,-0.0013523521881805376
Ausgrid,lgbm,2012-08,1,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.005043694033876389,-0.002402473932243576,-0.0016428822976392032,-0.020209839249109997,-0.008224890029325601,-0.004279579178913097,-0.0018322446150989841
Ausgrid,lgbm,2012-09,2,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.01061872909698991,-0.004250422091037875,-0.002081259496937493,-0.029138795986621998,-0.022348484848484798,-0.010151833049589764,-0.0032340967889842045
Ausgrid,lgbm,2012-10,3,aci_user_vs_static_user,aci_user,rolling_user_norm,0.006133797245297945,0.001565185169477068,-0.0010857328981906944,-0.0221639335419139,-0.0047028681813144,0.004177702405374826,-0.0018014876693600776
Ausgrid,lgbm,2012-11,4,aci_user_vs_static_user,aci_user,rolling_user_norm,0.007169732441471566,0.001032366452857425,-0.0008645843325953972,-0.0201714046822742,-0.0088598429470141,0.0028201638051844847,-0.0014252181501508757
Ausgrid,lgbm,2012-12,5,aci_user_vs_static_user,aci_user,rolling_user_norm,0.0007439673463516261,-0.0004442776811984239,-0.0011018074056498017,-0.0206813931743806,-0.0043634612671444,-0.0011101550425868833,-0.0016724706041668638
Ausgrid,lgbm,2013-01,6,aci_user_vs_static_user,aci_user,rolling_user_norm,0.006590067249253817,0.0016494651946741268,-0.0011547595463137217,-0.0232765131082101,-0.0094980255621874,0.003697930073014451,-0.0014881597895354155
Ausgrid,lgbm,2013-02,7,aci_user_vs_static_user,aci_user,rolling_user_norm,0.000890866379996802,-0.0011971061615442813,-0.0008355428481007232,-0.024429646440516,-0.0021623364756590004,-0.003128017221224566,-0.00132957941797899
Ausgrid,lgbm,2013-03,8,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.003620940770309611,-0.0014613818694160785,-0.0007782411739918338,-0.0201608407954831,-0.0067342866644496,-0.003848598886252718,-0.001250111328975354
Ausgrid,lgbm,2013-04,9,aci_user_vs_static_user,aci_user,rolling_user_norm,0.008972036417688622,0.0024379975375212193,-0.0014311197690652921,-0.0241197510219249,-0.0126809901328349,0.0065733899920564,-0.0023969127822851266
Ausgrid,lgbm,2013-05,10,aci_user_vs_static_user,aci_user,rolling_user_norm,0.015468227424749181,0.004259391403303503,-0.0012269655943361046,-0.0261148272017837,-0.0151996194485594,0.009613220560206867,-0.0016744628999939884
Ausgrid,lgbm,2013-06,11,aci_user_vs_static_user,aci_user,rolling_user_norm,0.013440635451504979,0.005523117222486329,-0.0013465069059750423,-0.0243938127090301,-0.014391417395605599,0.009788569092793485,-0.001422287043831995
UCI Electricity,lgbm,2014-01,0,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.005423049142929237,-14.074124820550423,-6.352863582450539,-0.0217289027995406,-0.005844673745077602,-0.04231914547656343,-0.01562364853219783
UCI Electricity,lgbm,2014-02,1,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.007245062518847378,-3.3066981460615352,-2.0891878464948945,-0.0206063082631517,-0.004374344538279,-0.010591519755356259,-0.005432883435558893
UCI Electricity,lgbm,2014-03,2,aci_user_vs_static_user,aci_user,rolling_user_norm,0.0074103164234714525,10.252799053991339,-3.038309898093246,-0.026225218362586403,-0.0064382742225255,0.03377149318422946,-0.0076350469859738585
UCI Electricity,lgbm,2014-04,3,aci_user_vs_static_user,aci_user,rolling_user_norm,0.007991100379722615,22.49769854252571,-25.97466957606406,-0.027686098727868196,-4.173873036650115e-05,0.06782504133582548,-0.05226633108327496
UCI Electricity,lgbm,2014-05,4,aci_user_vs_static_user,aci_user,rolling_user_norm,0.0059213460528964035,-22.751895260515084,-9.113352240872132,-0.0237033426348757,-0.0002654916204208012,-0.050763404444299186,-0.017593160460786746
UCI Electricity,lgbm,2014-06,5,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.0007973766105580093,-8.539551016389964,-5.49744744685313,-0.0212114414366646,0.0016483799515787986,-0.017869784095096625,-0.009146536628415098
UCI Electricity,lgbm,2014-07,6,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.0009077884300391359,-4.639375166157265,-4.220105010638008,-0.0229224472397312,0.0010266056947363005,-0.008861217467431657,-0.006374978749985312
UCI Electricity,lgbm,2014-08,7,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.003944932764452624,14.421287705855093,-9.917268877026913,-0.0210456933332807,-0.0057823637904391,0.027390905772804317,-0.014051935422055432
UCI Electricity,lgbm,2014-09,8,aci_user_vs_static_user,aci_user,rolling_user_norm,-0.0036259222853507467,-7.746258909623805,-6.660116277210477,-0.023189180150012898,-0.0060655231030753,-0.015295327012334586,-0.01046898963456675
UCI Electricity,lgbm,2014-10,9,aci_user_vs_static_user,aci_user,rolling_user_norm,0.009470601469038442,53.77774529843657,-37.28491341329607,-0.028738608241929503,-0.0201341172581522,0.13804757819293476,-0.05984831093028235
