dataset,forecaster,coverage,horizon_hours,method,mean_user_window_gap,pooled_user_gap,temporal_cancellation_absolute,temporal_cancellation_ratio,equal_window_mean_user_window_gap,equal_window_pooled_user_gap,equal_window_temporal_cancellation_absolute,equal_window_temporal_cancellation_ratio,legacy_hybrid_mean_user_window_gap,legacy_hybrid_temporal_cancellation_absolute,legacy_hybrid_temporal_cancellation_ratio,weighting
Ausgrid,lightgbm_quantile,0.8,1.0,raw,0.0454268795528474,0.036711221575724276,0.008715657977123127,0.191861251816422,0.0454317482115957,0.03670910389769964,0.008722644313896064,0.19199446768525966,0.0454317482115957,0.008720526635871424,0.19194785539081796,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.8,1.0,rolling_global_norm,0.04025805195400192,0.030292565782440703,0.00996548617156122,0.24754019849116377,0.0402765986610657,0.030315082640205358,0.009961516020860341,0.24732763818236395,0.0402765986610657,0.009984032878624996,0.24788669377576542,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.8,1.0,rolling_group_norm,0.04001519524747636,0.030317191246315718,0.009698004001160644,0.2423580327718698,0.040033442407872634,0.03033731683911382,0.009696125568758814,0.24220064490012624,0.040033442407872634,0.009716251161556916,0.24270336441630114,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.8,1.0,rolling_user_norm,0.028235442342053427,0.0062117255387058945,0.022023716803347533,0.7800025420726543,0.028266166225273875,0.006242845472990994,0.02202332075228288,0.7791407075428212,0.028266166225273875,0.02205444068656798,0.7802416681059581,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.8,6.0,raw,0.06717521112994611,0.05419358287136728,0.012981628258578827,0.19325027849137244,0.06716410273891867,0.05417163420866965,0.012992468530249018,0.1934436402843576,0.06716410273891867,0.012970519867551385,0.19311684871263135,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.8,6.0,rolling_global_norm,0.05910981811517844,0.04386081458743757,0.015249003527740869,0.25797750718886364,0.05914957018787663,0.04388931148003728,0.015260258707839348,0.2579944141498954,0.05914957018787663,0.01528875560043906,0.25847619098291713,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.8,6.0,rolling_group_norm,0.05865850399352483,0.04328679311556023,0.0153717108779646,0.26205426036200047,0.058710784469024294,0.04331986321818018,0.015390921250844111,0.26214811111856856,0.058710784469024294,0.015423991353464062,0.2627113824650347,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.8,6.0,rolling_user_norm,0.04138521097723003,0.009729921656663781,0.03165528932056625,0.7648937524562303,0.04142119053255975,0.009674655744299869,0.03174653478825988,0.7664322145280937,0.04142119053255975,0.03169126887589597,0.7650979720388426,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,1.0,raw,0.03993028512087476,0.03335662253172677,0.006573662589147988,0.16462849111266195,0.039933518509956106,0.03334911762111974,0.00658440088883637,0.16488406568018207,0.0399335185099561,0.00657689597822933,0.1646961305598353,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,1.0,rolling_global_norm,0.030966158122203383,0.024022235457613655,0.006943922664589729,0.22424230468586256,0.030981738907098294,0.024048131276611286,0.006933607630487008,0.22379659357656112,0.030981738907098298,0.006959503449484643,0.22463243494348004,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,1.0,rolling_group_norm,0.030714902032650683,0.02389567202700019,0.006819230005650493,0.22201698701176018,0.03072926343986126,0.023921293281610596,0.006807970158250666,0.22154680575322644,0.03072926343986126,0.006833591412861072,0.2223805795487015,within-user effective-sample weighting for both terms; users macro-averaged
Ausgrid,lightgbm_quantile,0.9,1.0,rolling_user_norm,0.02110165544203662,0.005143285838640225,0.015958369603396395,0.7562615002994371,0.021118263051555473,0.005129457382262439,0.015988805669293032,0.7571079889600756,0.021118263051555473,0.01597497721291525,0.7564531786499651,within-user effective-sample weighting for both terms; users macro-averaged
