scope,pair,metric,block_length,point_estimate,ci_lower,ci_upper,replicates,seed
full_grid,ERW-Global - Global-CQR,picp_abs_gap_diff,2,-0.004732262546036538,-0.006845138455327262,-0.002767611584626513,10000,20260729
full_grid,ERW-Global - Global-CQR,macro_user_gap_diff,2,-0.0018642019668674982,-0.0031241624004883922,-0.0007578003969774548,10000,20260729
full_grid,ERW-Global - Global-CQR,max_segment_gap_diff,2,-0.0037787165324490407,-0.0060260451495802074,-0.00158306338217839,10000,20260729
full_grid,ERW-Global - Global-CQR,l05_diff,2,-0.0028214592496582694,-0.004500268055822332,-0.0012565766620917392,10000,20260729
full_grid,ERW-Global - Global-CQR,relative_score_change,2,-0.0031900898729287,-0.005541312360640589,-0.001154774258892368,10000,20260729
full_grid,ERW-Global - Global-CQR,picp_abs_gap_diff,3,-0.004732262546036538,-0.00661488599091427,-0.0026942128951972875,10000,20260729
full_grid,ERW-Global - Global-CQR,macro_user_gap_diff,3,-0.0018642019668674982,-0.0029398705748888147,-0.0007306443077280629,10000,20260729
full_grid,ERW-Global - Global-CQR,max_segment_gap_diff,3,-0.0037787165324490407,-0.005858136972321765,-0.0016037068991885727,10000,20260729
full_grid,ERW-Global - Global-CQR,l05_diff,3,-0.0028214592496582694,-0.004347480271408243,-0.0012196835758971482,10000,20260729
full_grid,ERW-Global - Global-CQR,relative_score_change,3,-0.0031900898729287,-0.005290079642551213,-0.0012149650274970508,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,picp_abs_gap_diff,2,-0.004696038429610917,-0.006822387226363839,-0.0026897735570236064,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,macro_user_gap_diff,2,-0.0019430079121421592,-0.003235351330294388,-0.0008149698842646099,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,max_segment_gap_diff,2,-0.007054155633659455,-0.009717806201790191,-0.004501305251912046,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,l05_diff,2,-0.0044985817729008065,-0.006397120558526637,-0.002739090943434823,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,relative_score_change,2,-0.00434069018614843,-0.0069878703159960785,-0.0020648861250014893,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,picp_abs_gap_diff,3,-0.004696038429610917,-0.006605229597933051,-0.002633499990089431,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,macro_user_gap_diff,3,-0.0019430079121421592,-0.0030386822321104724,-0.0007972201210051815,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,max_segment_gap_diff,3,-0.007054155633659455,-0.009457732304146173,-0.0045029100813110245,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,l05_diff,3,-0.0044985817729008065,-0.006179832716083133,-0.00271300950907527,10000,20260729
full_grid,ERW-Segment - Segment/Mondrian-CQR,relative_score_change,3,-0.00434069018614843,-0.00673794384595391,-0.002109330351834607,10000,20260729
full_grid,ERW-User - User-CQR,picp_abs_gap_diff,2,-0.004045784794158825,-0.006349441785069988,-0.0018888971397903402,10000,20260729
full_grid,ERW-User - User-CQR,macro_user_gap_diff,2,-0.005242280250457635,-0.006927002333782864,-0.0037082839845814946,10000,20260729
full_grid,ERW-User - User-CQR,max_segment_gap_diff,2,-0.006690390346224787,-0.009572618931400578,-0.0038788503405738635,10000,20260729
full_grid,ERW-User - User-CQR,l05_diff,2,-0.005966335298341211,-0.008188582319439155,-0.00386008420142249,10000,20260729
full_grid,ERW-User - User-CQR,relative_score_change,2,-0.013339677684914506,-0.018263960488499844,-0.008898769483116032,10000,20260729
full_grid,ERW-User - User-CQR,picp_abs_gap_diff,3,-0.004045784794158825,-0.0061659767076992725,-0.0017883608023726574,10000,20260729
full_grid,ERW-User - User-CQR,macro_user_gap_diff,3,-0.005242280250457635,-0.006789321943606514,-0.00369939068029559,10000,20260729
full_grid,ERW-User - User-CQR,max_segment_gap_diff,3,-0.006690390346224787,-0.00937367599421846,-0.003873058762336851,10000,20260729
full_grid,ERW-User - User-CQR,l05_diff,3,-0.005966335298341211,-0.008030994097754622,-0.003826933303082728,10000,20260729
full_grid,ERW-User - User-CQR,relative_score_change,3,-0.013339677684914506,-0.01802209379862786,-0.0088743145100943,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,picp_abs_gap_diff,2,-0.0034987062694651697,-0.00539534605776921,-0.0017330729189647897,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,macro_user_gap_diff,2,-0.0015254745801252655,-0.002579489955574079,-0.0005951506600576133,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,max_segment_gap_diff,2,-0.00365104005756854,-0.0057928027810792825,-0.0015348699283848273,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,l05_diff,2,-0.002588257318846902,-0.004094376781997587,-0.0011244353957893386,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,relative_score_change,2,-0.0010365268422436013,-0.0019696578005106383,-0.0002260972822901709,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,picp_abs_gap_diff,3,-0.0034987062694651697,-0.005236316438151603,-0.0015694493611215512,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,macro_user_gap_diff,3,-0.0015254745801252655,-0.002417224655482844,-0.0005532196077615085,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,max_segment_gap_diff,3,-0.00365104005756854,-0.005674521146773027,-0.0015001374723621836,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,l05_diff,3,-0.002588257318846902,-0.004018106162606592,-0.0010644598227482025,10000,20260729
primary_80_1h,ERW-Global - Global-CQR,relative_score_change,3,-0.0010365268422436013,-0.0018867817610736023,-0.00024040348671917498,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,picp_abs_gap_diff,2,-0.0035406400579793542,-0.005421499871655555,-0.0017641221811151718,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,macro_user_gap_diff,2,-0.0015465439633047088,-0.0026157112815885955,-0.0006101114446040706,10000,20260729
primary_80_1h,ERW-Segment - Segment/Mondrian-CQR,max_segment_gap_diff,2,-0.005034037421891406,-0.007476471720735492,-0.0026835255610422287,10000,20260729
