dataset,configuration,window,coverage,horizon_hours,method,half_life_days,n,picp,mpiw,winkler_interval_score,macro_user_abs_coverage_gap,user_coverage_std,max_abs_cluster_coverage_gap,mean_calibration_age_days,effective_weight_sum,erw_global_correction,picp_abs_gap,l05
London,persistence_qi__c80__h1,2013-03,0.8,1.0,rolling_global_norm,,743942,0.8057819023526027,0.4100307390446697,1.0412367994773426,0.041879848138498,0.0630894860279978,0.0305214233603567,16.475218077458383,454158.6059482677,0.1295416697593301,0.005781902352602675,0.03620063574942735
London,persistence_qi__c80__h1,2013-03,0.8,1.0,rolling_group_norm,,743942,0.8057146928120741,0.4335881948056164,1.0389582466746925,0.0393475893372047,0.0599497178838783,0.0078708096141681,16.475218077458383,454158.6059482677,0.1295416697593301,0.00571469281207404,0.023609199475686397
London,persistence_qi__c80__h1,2013-03,0.8,1.0,rolling_user_norm,,743942,0.8058477677023209,0.4462708421717844,1.0267276053636976,0.0289708551691943,0.046380930648509,0.0062814880660398,16.475218077458383,454158.6059482677,0.1295416697593301,0.005847767702320872,0.01762617161761705
London,persistence_qi__c80__h1,2013-03,0.8,1.0,erw_global_norm,14.0,743942,0.8051286256186638,0.4086760006568215,1.0412844256704294,0.0417712847085518,0.0633130032072799,0.0311935930750125,16.475218077458383,454158.6059482677,0.1295416697593301,0.005128625618663785,0.03648243889178215
London,persistence_qi__c80__h1,2013-03,0.8,1.0,erw_group_norm,14.0,743942,0.8051447559083907,0.4316134591170209,1.0389268734202732,0.0393287902594852,0.0606615693482832,0.0063194295764913,16.475218077458383,454158.6059482677,0.1295416697593301,0.005144755908390697,0.02282410991798825
London,persistence_qi__c80__h1,2013-03,0.8,1.0,erw_user_norm,14.0,743942,0.8056985625223472,0.4458606737646294,1.0263145476907545,0.0280519750482229,0.0456516925723139,0.0078912921523405,16.475218077458383,454158.6059482677,0.1295416697593301,0.005698562522347128,0.0179716336002817
London,persistence_qi__c80__h1,2013-04,0.8,1.0,rolling_global_norm,,719837,0.8244241404651331,0.4006838853390632,0.9235721037797716,0.0404613404641158,0.0520065575429172,0.0287525834980983,16.47428342436319,454184.8835762049,0.1158462904215067,0.024424140465133082,0.03460696198110705
London,persistence_qi__c80__h1,2013-04,0.8,1.0,rolling_group_norm,,719837,0.8242421548211609,0.4247607903937214,0.926057247987884,0.0403796586809992,0.0521054236876602,0.0378914024849875,16.47428342436319,454184.8835762049,0.1158462904215067,0.024242154821160877,0.03913553058299335
London,persistence_qi__c80__h1,2013-04,0.8,1.0,rolling_user_norm,,719837,0.8213665038057227,0.4388158919235085,0.9249930817411132,0.0375817243419501,0.0472529784306962,0.0312088693899329,16.47428342436319,454184.8835762049,0.1158462904215067,0.021366503805722692,0.0343952968659415
London,persistence_qi__c80__h1,2013-04,0.8,1.0,erw_global_norm,14.0,719837,0.8249228644818202,0.4018768766826074,0.9236842197769816,0.0407183130755579,0.051986832775906,0.0293098909469745,16.47428342436319,454184.8835762049,0.1158462904215067,0.02492286448182013,0.0350141020112662
