scope,method,observations,mean_picp_abs_gap,mean_macro_user_gap,mean_max_segment_gap,mean_l05,mean_relative_score_vs_global,method_label
full_grid,rolling_global_norm,140,0.021510699977725586,0.06026352134519817,0.0559066039467864,0.05808506264599228,0.0,Global-CQR
full_grid,rolling_group_norm,140,0.021758478294617734,0.059172659693249474,0.035119791564173664,0.04714622562871157,-0.00395596050661208,Segment/Mondrian-CQR
full_grid,rolling_user_norm,140,0.021465296654464967,0.045940563489963095,0.03814335711866624,0.04204196030431467,-0.02487930316178348,User-CQR
full_grid,erw_global_norm,140,0.016778437431689046,0.058399319378330664,0.052127887414337354,0.055263603396334016,-0.0031900898729287,ERW-Global
full_grid,erw_group_norm,140,0.01706243986500682,0.05722965178110732,0.02806563593051421,0.04264764385581076,-0.008303513881205274,ERW-Segment
full_grid,erw_user_norm,140,0.017419511860306137,0.04069828323950546,0.03145296677244145,0.03607562500597346,-0.03814778261658793,ERW-User
primary_80_1h,rolling_global_norm,35,0.016584291275192085,0.05317403541052464,0.04748485071489307,0.05032944306270885,0.0,Global-CQR
primary_80_1h,rolling_group_norm,35,0.017091797664572875,0.05175911485357313,0.026730031180114192,0.03924457301684366,-0.0012519751260020805,Segment/Mondrian-CQR
primary_80_1h,rolling_user_norm,35,0.01698877038653231,0.04021601258729993,0.031788098785598365,0.03600205568644915,-0.01244714421498724,User-CQR
primary_80_1h,erw_global_norm,35,0.013085585005726916,0.05164856083039938,0.04383381065732453,0.04774118574386195,-0.0010365268422436013,ERW-Global
primary_80_1h,erw_group_norm,35,0.013551157606593521,0.050212570890268426,0.021695993758222787,0.03595428232424561,-0.0027430192133913703,ERW-Segment
primary_80_1h,erw_user_norm,35,0.013783931589491002,0.0361287222706072,0.026943352412220792,0.031536037341414,-0.016410387073819487,ERW-User
