dataset,configuration,coverage,horizon_hours,window,window_order,fold,fit_days,validation_start,validation_stop_exclusive,policy,n,picp,mpiw,macro_user_abs_coverage_gap,max_abs_cluster_coverage_gap,normalized_interval_score
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,1,35,2013-02-08 00:00:00,2013-02-15 00:00:00,rolling_global_norm,167996,0.7994416533726993,0.3952594611899647,0.0369038296041308,0.0053861788617886,2.6660706195064288
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,1,35,2013-02-08 00:00:00,2013-02-15 00:00:00,rolling_group_norm,167996,0.7992809352603634,0.3949804478865817,0.0367240676993689,0.0048853077816493,2.666054370228176
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,1,35,2013-02-08 00:00:00,2013-02-15 00:00:00,rolling_user_norm,167996,0.7981023357698993,0.3936576053759392,0.0290238382099827,0.0044497677119629,2.662337342855564
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,2,42,2013-02-15 00:00:00,2013-02-22 00:00:00,rolling_global_norm,167988,0.8014977260280496,0.3800268258783519,0.0361097883597883,0.0100319396051102,2.5867302720160787
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,2,42,2013-02-15 00:00:00,2013-02-22 00:00:00,rolling_group_norm,167988,0.8014084339357573,0.3797729994820098,0.036160758377425,0.004037963157526,2.586700892911064
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,2,42,2013-02-15 00:00:00,2013-02-22 00:00:00,rolling_user_norm,167988,0.7989023025454199,0.378403443227917,0.0330007054673721,0.0036530337941628,2.5851276147225923
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,3,49,2013-02-22 00:00:00,2013-03-01 00:00:00,rolling_global_norm,167845,0.7953588131907414,0.4028039389551504,0.0400407199190637,0.0100391986062717,2.7654300829058527
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,3,49,2013-02-22 00:00:00,2013-03-01 00:00:00,rolling_group_norm,167845,0.7949000565998391,0.402572485821865,0.0404657199190637,0.0204921602787456,2.76546137804407
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-03,0,3,49,2013-02-22 00:00:00,2013-03-01 00:00:00,rolling_user_norm,167845,0.7933927135154458,0.4012111658106702,0.034692805982847,0.0231779907084785,2.762409205802651
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,1,35,2013-03-11 00:00:00,2013-03-18 00:00:00,rolling_global_norm,167950,0.7922536469187258,0.3852317288660872,0.0438290590352353,0.0181692799070848,2.7520453308414123
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,1,35,2013-03-11 00:00:00,2013-03-18 00:00:00,rolling_group_norm,167950,0.7922655552247693,0.3850993153795152,0.0437640983469102,0.0237587108013938,2.752082321404844
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,1,35,2013-03-11 00:00:00,2013-03-18 00:00:00,rolling_user_norm,167950,0.7951830902054183,0.3839990420882007,0.0327926273678915,0.0209639953542393,2.747337314730089
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,2,42,2013-03-18 00:00:00,2013-03-25 00:00:00,rolling_global_norm,167968,0.7952348066298343,0.3856371938472431,0.0441602564344307,0.0068815331010453,2.717603591847126
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,2,42,2013-03-18 00:00:00,2013-03-25 00:00:00,rolling_group_norm,167968,0.7950085730615355,0.3855608552098577,0.0440964009159819,0.0110554587688734,2.717614748519538
London,lightgbm_quantile__c80__h1,0.8,1.0,2013-04,1,2,42,2013-03-18 00:00:00,2013-03-25 00:00:00,rolling_user_norm,167968,0.7974971423128215,0.3850462011114797,0.0322961808945559,0.0057200929152149,2.71206638492269
