forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,CSGR,rolling_user_norm,0.0203599608666228
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Mean-fold minimum,rolling_user_norm,0.0203599608666228
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Latest-fold minimum,rolling_user_norm,0.0203599608666228
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Previous-window winner,rolling_global_norm,0.0276807765336129
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Follow-the-leader,rolling_global_norm,0.0276807765336129
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Global-CQR,rolling_global_norm,0.0276807765336129
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Segment-CQR,rolling_group_norm,0.0266371955679897
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,User-CQR,rolling_user_norm,0.0203599608666228
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Ex-post best fixed,rolling_user_norm,0.0203599608666228
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Month-wise oracle,rolling_user_norm,0.0203599608666228
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,CSGR,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Mean-fold minimum,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Latest-fold minimum,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Previous-window winner,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Follow-the-leader,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Global-CQR,rolling_global_norm,0.0249601658745721
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Segment-CQR,rolling_group_norm,0.0230317101146435
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,User-CQR,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Ex-post best fixed,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Month-wise oracle,rolling_user_norm,0.018738603466426
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,CSGR,rolling_user_norm,0.0315763192121887
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Mean-fold minimum,rolling_user_norm,0.0315763192121887
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Latest-fold minimum,rolling_user_norm,0.0315763192121887
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Previous-window winner,rolling_user_norm,0.0315763192121887
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Follow-the-leader,rolling_user_norm,0.0315763192121887
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Global-CQR,rolling_global_norm,0.0333346265751157
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Segment-CQR,rolling_group_norm,0.0323564475228877
