forecaster,dataset,configuration,coverage,horizon_hours,window,window_order,strategy,selected_policy,loss
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,CSGR,rolling_user_norm,0.0491411741757897
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Mean-fold minimum,rolling_user_norm,0.0491411741757897
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Latest-fold minimum,rolling_user_norm,0.0491411741757897
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Previous-window winner,rolling_global_norm,0.0565054948992088
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Follow-the-leader,rolling_global_norm,0.0565054948992088
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Global-CQR,rolling_global_norm,0.0565054948992088
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Segment-CQR,rolling_group_norm,0.0554605048479896
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,User-CQR,rolling_user_norm,0.0491411741757897
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Ex-post best fixed,rolling_user_norm,0.0491411741757897
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-07,0,Month-wise oracle,rolling_user_norm,0.0491411741757897
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,CSGR,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Mean-fold minimum,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Latest-fold minimum,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Previous-window winner,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Follow-the-leader,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Global-CQR,rolling_global_norm,0.051021736050185
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Segment-CQR,rolling_group_norm,0.0490928344536757
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,User-CQR,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Ex-post best fixed,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-08,1,Month-wise oracle,rolling_user_norm,0.0447685228464658
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,CSGR,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Mean-fold minimum,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Latest-fold minimum,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Previous-window winner,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Follow-the-leader,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Global-CQR,rolling_global_norm,0.052508080901569
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Segment-CQR,rolling_group_norm,0.0515286659158034
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,User-CQR,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Ex-post best fixed,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-09,2,Month-wise oracle,rolling_user_norm,0.0507426140404972
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-10,3,CSGR,rolling_user_norm,0.0351530082169891
LightGBM,Ausgrid,lightgbm_quantile__c80__h1,0.8,1.0,2012-10,3,Mean-fold minimum,rolling_user_norm,0.0351530082169891
